BT-HR-RCD1-BU-ZJ-CE-01;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DA DIVISÃO BOBINAS;S.E DIVISÃO BOBINAS PAINEL DG1MCP01 DISJ. 20Q1 CUB C1A P/ MOTOR DG1MKL 01 (700KW) - DESBOBINADEIRA;CAE 00769;1,8/3;56;73.03.030.011.001;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD1-BU-ZJ-CE-02;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DA DIVISÃO BOBINAS;S.E DIVISÃO BOBINAS PAINEL DR1MCP01 DISJ. 21Q1 CUB C1B P/ MOTOR DR1MKL 01 (700KW) - BOBINADEIRA;CAE 00770;1,8/3;43;73.03.030.011.002;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-01;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TERHTP DISJ. 57Q1 CUB C2A P/ TRAFO TERTRT 01 (3600KVA);CAE 00757;8,7/15;36;73.02.034.020.001;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-02;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TERHTP DISJ. 58Q1 CUB C2B P/ TRAFO TERTRT 02 (510KVA);CAE 00758;8,7/15;28;73.02.034.020.002;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-03;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TERHTP DISJ. 59Q1 CUB C3A P/ TRAFO DERTRT 01 (1400KVA);CAE 00759;8,7/15;333;73.02.034.020.003;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-04;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TERHTP DISJ. 60Q1 CUB C3B P/ TRAFO DERTRT 02 (1020KVA);CAE 00760;8,7/15;328;73.02.034.020.004;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-05;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TERHTP DISJ. 61Q1 CUB C4A P/ TRAFO TERTRP 01 (2000KVA);CAE 00761;8,7/15;22;73.02.034.020.005;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-06;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TERHTP DISJ. 62Q1 CUB C4B P/ TRAFO DERTRP 01 (1000KVA);CAE 00762;8,7/15;335;73.02.034.020.006;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-07;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TR1MCP01 DISJ. 20Q1 CUB C3A P/ MOTOR TR1MKL 01 (1200KW);CAE 00763;1,8/3;78;73.02.034.020.007;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-08;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TR1MCP01 DISJ. 21Q1 CUB C3B P/ MOTOR TR1MKL 01 (1200KW);CAE 00764;1,8/3;78;73.02.034.020.008;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-09;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL HA1MCP01 DISJ. 20Q1 CUB C2A P/ MOTOR HA1MKL 01 (1200KW);CAE 00765;1,8/3;55;73.02.034.020.009;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-10;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL HA1MCP01 DISJ. 21Q1 CUB C2B P/ MOTOR HA1MKL 01 (1200KW);CAE 00766;1,8/3;55;73.02.034.020.010;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-11;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TG1MCP01 DISJ. 20Q1 CUB C1A P/ MOTOR TG1MKL 01 (1200KW);CAE 00767;1,8/3;59;73.02.034.020.011;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT-HR-RCD2-BU-ZH-CE-12;ACABAMENTO, ESTOCAGEM E DESPACHO DE BOBINAS;SALA ELÉTRICA DO LAMINADOR ACABAMENTO;S.E LA PAINEL TG1MCP01 DISJ. 21Q1 CUB C1B P/ MOTOR TG1MKL 01 (1200KW);CAE 00768;1,8/3;59;73.02.034.020.012;;;;;;;;;;;;;;;;;;;;;;;;;;;
